Date,AME ID,Title,Format,Asset Type,Channel,Location,Transaction Type,Quantity,Sales,Est. Commissions
06-03-2025,706331,Theme From Gold Guns Girls,Piano/Vocal/Guitar (Piano Accompaniment),sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
05-19-2025,1177658,"Paris, Texas",Easy Piano,sheet,Sheet Music Direct,United Kingdom,Purchase,1,$6.64,$0.66
05-14-2025,1177658,"Paris, Texas",Easy Piano,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
04-24-2025,1177658,"Paris, Texas",Easy Piano,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
04-10-2025,706331,Theme From Gold Guns Girls,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
04-05-2025,683603,I Don't Blame You,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
03-25-2025,521008,Help I'm Alive,Piano & Vocal,sheet,Sheet Music Plus,Canada,Purchase,1,$5.99,$0.60
03-20-2025,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
03-16-2025,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
03-13-2025,521006,The Soft Skeleton,Vocal Solo,sheet,Sheet Music Plus,United States,Purchase,1,$4.99,$0.50
03-13-2025,520999,The Soft Skeleton,Piano & Vocal,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
03-12-2025,1177658,"Paris, Texas",Easy Piano,sheet,Sheet Music Direct,United States,Purchase,1,$5.69,$0.57
03-09-2025,683603,I Don't Blame You,Piano/Vocal/Guitar,sheet,Sheet Music Direct,Lithuania,Purchase,1,$5.99,$0.60
03-09-2025,521003,Twice,Piano & Vocal,sheet,Sheet Music Plus,Australia,Purchase,1,$5.99,$0.60
03-03-2025,520999,The Soft Skeleton,Piano & Vocal,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
02-28-2025,683603,I Don't Blame You,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United States,Purchase,1,$6.59,$0.66
02-27-2025,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
02-22-2025,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United Kingdom,Purchase,1,$5.99,$0.60
02-07-2025,1118988,Friend Of The Night,Easy Piano,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
01-31-2025,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United Kingdom,Purchase,1,$6.20,$0.62
01-03-2025,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United Kingdom,Purchase,1,$6.18,$0.62
01-01-2025,521005,The Soft Skeleton,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
12-22-2024,521002,Unkle,Piano & Vocal,sheet,Sheet Music Plus,Netherlands,Purchase,1,$5.99,$0.60
12-12-2024,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
12-09-2024,521003,Twice,Piano & Vocal,sheet,Sheet Music Plus,Canada,Purchase,1,$5.99,$0.60
12-09-2024,521005,The Soft Skeleton,Piano/Vocal/Guitar,sheet,Sheet Music Plus,Canada,Purchase,1,$5.99,$0.60
11-23-2024,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United Kingdom,Purchase,1,$5.00,$0.50
11-20-2024,520999,The Soft Skeleton,Piano & Vocal,sheet,Sheet Music Plus,United States,Purchase,1,$5.99,$0.60
11-17-2024,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
11-17-2024,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Direct App,United Kingdom,Purchase,1,$6.43,$0.45
11-16-2024,520999,The Soft Skeleton,Piano & Vocal,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
11-12-2024,521007,Five String Serenade,Instrumental Duet (Other),sheet,Sheet Music Plus,United States,Purchase,1,$4.99,$0.50
11-03-2024,697606,Rolling Stone,Piano/Vocal/Guitar,sheet,Sheet Music Plus,Romania,Purchase,1,$5.99,$0.60
10-26-2024,683603,I Don't Blame You,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United States,Purchase,1,$5.99,$0.60
10-23-2024,827483,Piano Joint This Kind Of Love,Piano/Vocal/Guitar,sheet,Sheet Music Plus,Australia,Purchase,1,$5.99,$0.60
10-20-2024,655513,It Means Beautiful,Piano/Vocal/Guitar,sheet,Sheet Music Direct,United Kingdom,Purchase,1,$6.51,$0.65
